,"Country,Other"
0,World
1,USA
2,India
3,France
4,Germany
5,Brazil
6,S. Korea
7,UK
8,Italy
9,Japan
10,Russia
11,Turkey
12,Spain
13,Vietnam
14,Australia
15,Argentina
16,Netherlands
17,Taiwan
18,Iran
19,Mexico
20,Indonesia
21,Poland
22,Colombia
23,Portugal
24,Austria
25,Ukraine
26,Greece
27,Malaysia
28,Chile
29,DPRK
30,Thailand
31,Israel
32,Belgium
33,Canada
34,Switzerland
35,Peru
36,Czechia
37,South Africa
38,Philippines
39,Romania
40,Denmark
41,Sweden
42,Iraq
43,Serbia
44,Hungary
45,Singapore
46,Bangladesh
47,Hong Kong
48,New Zealand
49,Slovakia
50,Georgia
51,Jordan
52,Ireland
53,Pakistan
54,Norway
55,Kazakhstan
56,Finland
57,Bulgaria
58,Lithuania
59,Morocco
60,Croatia
61,Slovenia
62,Lebanon
63,Tunisia
64,Guatemala
65,Costa Rica
66,Cuba
67,Bolivia
68,UAE
69,Ecuador
70,Nepal
71,Belarus
72,Panama
73,Uruguay
74,Mongolia
75,Latvia
76,Saudi Arabia
77,Azerbaijan
78,Paraguay
79,Bahrain
80,Sri Lanka
81,Kuwait
82,Dominican Republic
83,Myanmar
84,Palestine
85,Estonia
86,Cyprus
87,Moldova
88,Venezuela
89,Egypt
90,Libya
91,Ethiopia
92,R̩union
93,Qatar
94,Honduras
95,Armenia
96,Bosnia and Herzegovina
97,Oman
98,North Macedonia
99,Kenya
100,Zambia
101,Albania
102,Botswana
103,Luxembourg
104,Montenegro
105,Algeria
106,China
107,Nigeria
108,Zimbabwe
109,Uzbekistan
110,Brunei
111,Mozambique
112,Martinique
113,Laos
114,Iceland
115,Kyrgyzstan
116,Afghanistan
117,El Salvador
118,Guadeloupe
119,Maldives
120,Trinidad and Tobago
121,Ghana
122,Namibia
123,Uganda
124,Jamaica
125,Cambodia
126,Rwanda
127,Cameroon
128,Malta
129,Angola
130,Barbados
131,Channel Islands
132,French Guiana
133,DRC
134,Senegal
135,Malawi
136,Ivory Coast
137,Suriname
138,French Polynesia
139,New Caledonia
140,Eswatini
141,Guyana
142,Belize
143,Fiji
144,Madagascar
145,Sudan
146,Mauritania
147,Cabo Verde
148,Bhutan
149,Syria
150,Burundi
151,Seychelles
152,Gabon
153,Andorra
154,Papua New Guinea
155,Cura̤ao
156,Aruba
157,Mauritius
158,Mayotte
159,Tanzania
160,Togo
161,Guinea
162,Isle of Man
163,Bahamas
164,Faeroe Islands
165,Lesotho
166,Haiti
167,Mali
168,Cayman Islands
169,Saint Lucia
170,Benin
171,Somalia
172,Congo
173,Timor-Leste
174,Micronesia
175,San Marino
176,Burkina Faso
177,Solomon Islands
178,Liechtenstein
179,Gibraltar
180,Grenada
181,Nicaragua
182,Bermuda
183,South Sudan
184,Tajikistan
185,Equatorial Guinea
186,Tonga
187,Samoa
188,Dominica
189,Djibouti
190,Marshall Islands
191,CAR
192,Monaco
193,Gambia
194,Saint Martin
195,Greenland
196,Vanuatu
197,Yemen
198,Caribbean Netherlands
199,Sint Maarten
200,Eritrea
201,Niger
202,Antigua and Barbuda
203,Comoros
204,Guinea-Bissau
205,Liberia
206,Sierra Leone
207,Chad
208,British Virgin Islands
209,St. Vincent Grenadines
210,Saint Kitts and Nevis
211,Turks and Caicos
212,Cook Islands
213,Sao Tome and Principe
214,Palau
215,St. Barth
216,Nauru
217,Anguilla
218,Kiribati
219,Saint Pierre Miquelon
220,Falkland Islands
221,Saint Helena
222,Montserrat
223,Tuvalu
224,Macao
225,Wallis and Futuna
226,Diamond Princess
227,Niue
228,Vatican City
229,Western Sahara
230,MS Zaandam
231,Total:
